ODSCode,PostCode,orgRecordClass,ClassMeaning,Status,PrimaryRole,Name,OperationalStart,OperationalEnd,LegalStart,LegalEnd,LiveByRule
H8I8M,LS11 0EB,RC2,site,Inactive,RO198,LCH - ELLAND RD P&R - SAIS COVID VACCINATION SERVICE,2021-04-01,2025-10-31,2021-04-01,2025-04-30,no
C4B2A,LS11 0ES,RC2,site,Inactive,RO198,ELLAND ROAD STADIUM - COVID VACCINATION CENTRE,2020-10-01,2024-08-05,,,no
X6R3V,LS11 0ES,RC1,organisation,Active,RO157,LEEDS UNITED FOUNDATION,2021-10-05,,,,yes
